Title,Genre,Rating,Runtime,Release_Date,Release_Month,Release_Year,Budget,Cast_1,Cast_2,Cast_3,Director_1,Writer_1,Description,Tomatometer_Status,Tomatometer_Rating,Tomatometer_Count,Audience_Status,Audience_Rating,Audience_Count
Immortals,Action,R ,110,11/11/2011,11,2011,75000000,Henry Cavill,Mickey Rourke,Freida Pinto,Tarsem Singh,Charley Parlapanides,"The brutal and bloodthirsty King Hyperion (Mickey Rourke) and his murderous Heraklion army are rampaging across Greece in search of the long lost Bow of Epirus. With the invincible Bow, the king will be able to overthrow the Gods of Olympus and become the undisputed master of his world. With ruthless efficiency, Hyperion and his legions destroy everything in their wake, and it seems nothing will stop the evil king's mission. As village after village is obliterated, a stonemason named Theseus (Henry Cavill) vows to avenge the death of his mother in one of Hyperion's raids. When Theseus meets the Sybelline Oracle, Phaedra (Freida Pinto), her disturbing visions of the young man's future convince her that he is the key to stopping the destruction. With her help, Theseus assembles a small band of followers and embraces his destiny in a final desperate battle for the future of humanity. -- (C) Relativity Media",Rotten,46,131,Spilled,48,68355
Robin Hood: Prince of Thieves,Action,PG-13 ,155,6/14/1991,6,1991,48000000,Kevin Costner,Alan Rickman,Morgan Freeman,Kevin Reynolds,Pen Densham,"This film is a '90s version of the classic Robin Hood story, with Kevin Costner starring as the good-guy thief. Costner is joined in his efforts against the murdering Sheriff of Nottingham (Alan Rickman) by Morgan Freeman who plays a philosophizing Moor, and by Nick Brimble, who plays Little John (anything but little). After Robin barely survives a watery skirmish with Little John, the two become allies and Robin joins forces with Little John's band of robber thieves to overcome the evils of the dastardly Nottingham sheriff. ~ Rovi",Rotten,51,55,Upright,72,334748
Next of Kin,Action,R ,101,10/20/1989,10,1989,12000000,Patrick Swayze,Liam Neeson,Adam Baldwin,John Irvin,Michael Jenning,"When his brother is murdered, a policeman is caught between his devotion to the law and his family's desire for revenge in this action drama. Patrick Swayze plays Truman Gates, who left his backwoods Appalachian home for life as a Chicago police officer. When his brother is killed by a gangster, Truman is determined to seek legal retribution. His older brother Briar (Liam Neeson) has different ideas, however, and travels to the city to seek old-fashioned vigilante justice. Truman must now choose between his family's belief in mountain justice and the duties of his job. Though the film is not particularly action-packed, director John Irvin does provide the expected gunplay and macho confrontations. However, despite a surprisingly distinguished cast (also including Helen Hunt and Michael J. Pollard), little distinguishes the film from numerous other revenge stories with a similar outline.",Rotten,56,9,Spilled,45,9637
Collateral Damage,Action,R ,105,2/8/2002,2,2002,85000000,Arnold Schwarzenegger,Elias Koteas,Francesca Neri,Andrew Davis,David Griffiths,"In one fleeting moment, L.A. firefighter Gordy Brewer loses everything he ever cared about. Running late to meet his wife and young son at a downtown high-rise, the devoted family man arrives in time to witness a bomb explode, showering the area with debris and shattered glass. The explosion is credited to 'El Lobo, The Wolf', an infamous rebel leader in Colombia's decades-long civil war. The intended targets were members of the Colombian consulate and American intelligence agents; its casualties included one civilian woman and one small boy--Gordy's family, innocent people who lost their lives for being in the wrong place at the wrong time. Gordy's only consolation for the loss of his family is the hope that the Wolf will be stopped before he has a chance to strike again. When the official U.S. investigation into the Wolf stalls, Gordy realizes that bringing the terrorist to justice is no longer a priority to anyone but himself. Gordy heads to war-torn Colombia to track him down alone.",Rotten,19,143,Spilled,27,79880
Homefront,Action,R ,100,11/27/2013,11,2013,22000000,Jason Statham,James Franco,Winona Ryder,Gary Fleder,Sylvester Stallone,HOMEFRONT is an action movie about a widowed ex-DEA agent who retires to a small town for the sake of his 10-year-old daughter. The only problem is he picked the wrong town. (c) Open Road,Rotten,43,115,Upright,61,41179
The Wraith,Action,PG-13 ,93,11/21/1986,11,1986,2700000,Charlie Sheen,Randy Quaid,Nick Cassavetes,Mike Marvin,Mike Marvin,"This supernatural teen action film is about a strange reincarnation with the emphasis on ""car."" Young Jamie is killed by the evil Packard (Nick Cassavetes) and his gang of thugs because Jamie was caught romancing Keri (Sherilyn Fenn), Packard's girlfriend. Suddenly ""the Wraith"" -- a black turbo racing car shows up to challenge Packard (sounds like a Detroit auto duel) whose livelihood comes from stealing cars. What happens next is an endless series of car chases as Packard's gang of punks start to bite the dust, one by one. Then Jake (Charlie Sheen) comes into town on a motorcycle and makes a play for Keri, giving rise to old animosities one more time.",Rotten,36,14,Upright,61,9240
Star Trek: Insurrection,Action,PG ,102,12/11/1998,12,1998,70000000,Patrick Stewart,Brent Spiner,Jonathan Frakes,Jonathan Frakes,Michael Piller,"The battle for paradise has begun. Captain Picard and the crew of the Enterprise fulfill one of man's enduring dreams - to find a fountain of youth. When the existence of this newfound paradise is threatened, Picard faces a daunting decision - in order to protect the lives of the inhabitants of this alien world, he must commit treason and take up arms against the Federation itself.",Rotten,54,72,Spilled,44,62854
The Tailor of Panama,Action,R ,110,3/30/2001,3,2001,21000000,Pierce Brosnan,Geoffrey Rush,Jamie Lee Curtis,John Boorman,John Boorman,"Harry Pendel, a Cockney ex-con who has reinvented himself as a popular tailor to the rich and powerful of Panama, is famous for his storytelling as well as his suits-but this time, his tales carry lethal repercussions. Preyed upon by ruthless, seductive British spy Osnard, Harry spins a yarn that inadvertently sets off a series of events to destroy everything he values most in his life.",Certified-Fresh,77,116,Spilled,46,12532
Skyfall,Action,PG-13 ,145,11/9/2012,11,2012,200000000,Daniel Craig,Javier Bardem,Judi Dench,Sam Mendes,John Logan,"In Skyfall, Bond's loyalty to M is tested as her past comes back to haunt her. As MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost. -- (C) Official Site",Certified-Fresh,92,377,Upright,86,374005
Robots,Kids&Family,PG ,89,3/11/2005,3,2005,75000000,Ewan McGregor,Robin Williams,Mel Brooks,Chris Wedge,David Lindsay-Abaire,A young genius wants his robots to make the world a better place. He falls in love with a very sexy executive robot and must face down a corporate tyrant and aid a master inventor.,Fresh,64,182,Spilled,53,241135
Dumbo,Kids&Family,G,63,10/23/1941,10,1941,812000,Sterling Holloway,Jesper Klein,Edward S. Brophy,Sam Armstrong,Joe Grant,"The shortest of Disney's major animated features Dumbo involves a baby elephant with unusually large ears. Ostracized from the rest of the circus animals, poor Dumbo is even separated from his mother, who is chained up in a separate cage after trying to defend her child. Only brash-but-lovable Timothy Mouse offers the hand of friendship to Dumbo, encouraging the pouty pachyderm to exploit his ""different"" qualities for fame and fortune. After trepidatiously indulging in a vat of booze, Dumbo awakens in a tall tree. Goaded by a group of jive-talking crows, Dumbo discovers that his outsized ears have given him the ability to fly. The musical score by Frank Churchill and Oliver Wallace won Oscars for them both.",Certified-Fresh,98,42,Upright,70,432270
Oliver & Company,Kids&Family,G,72,11/18/1988,11,1988,31000000,Joey Lawrence,Billy Joel,Cheech Marin,George Scribner,James Mangold,"This animated musical retells Dickens's Oliver Twist amongst animals in New York City, with Oliver as an innocent kitten who joins a gang of law-breaking dogs. When Oliver is adopted by a wealthy young woman, the gang's evil human owner hatches a kidnapping scheme to tap into the girl's fortune.",Rotten,50,50,Upright,62,79683
Ice Age: Collision Course,Kids&Family,PG ,100,7/22/2016,7,2016,105000000,Ray Romano,John Leguizamo,Denis Leary,Mike Thurmeier,Aubrey Solomon,"Scrat's epic pursuit of the elusive acorn catapults him into the universe where he accidentally sets off a series of cosmic events that transform and threaten the Ice Age World. To save themselves, Sid, Manny, Diego, and the rest of the herd must leave their home and embark on a quest full of comedy and adventure, travelling to exotic new lands and encountering a host of colorful new characters.",Rotten,18,118,Spilled,39,33060
Final Fantasy: The Spirits Within,SciFi,PG-13 ,106,7/11/2001,7,2001,137000000,Ming-Na Wen,Alec Baldwin,Ving Rhames,Hironobu Sakaguchi,Hironobu Sakaguchi,"The first feature-length motion picture to use computer-generated imagery to create not only effects, props, and environments but also the human cast members themselves, this lavish science-fiction adventure follows closely on the heels of another video game-based film, Tomb Raider (2001). Ming-Na provides the voice of Dr. Aki Ross, a female scientist in the year 2065, a time when Earth has been overrun by extraterrestrial phantoms borne of a crashed meteor. Humans have been pushed back to cities protected by barriers that keep the marauding space monsters away, but time is running out. Fatally infected by one of the ghostly beasts, Ross seeks information about their purpose and physiology, assisted by her mentor Dr. Sid (voice of Donald Sutherland) and the Deep Eyes military squad of courageous Captain Gray Edwards (voice of Alec Baldwin). Tension develops between Aki's quest to stop the alien onslaught through study and the more extreme solution favored by the vengeful, saber-rattling General Hein (voice of James Woods), who would destroy both the aliens and the Earth itself. Aki ultimately comes to realize that the key to unlocking the mystery of the invaders lies within her own dreams.",Rotten,45,143,Spilled,48,141642
Monkeybone,Comedy,PG-13 ,92,2/23/2001,2,2001,75000000,Brendan Fraser,Bridget Fonda,Chris Kattan,Henry Selick,Sam Hamm,"This feverishly energetic comedy combines stop-motion animation and live action from director Henry Selick, creator of The Nightmare Before Christmas (1993) and James and the Giant Peach (1996). Brendan Fraser stars as Stu Miley, a cartoonist who created a randy monkey character called Monkeybone that has taken off in popularity, making him a celebrity. Stu's set to launch a TV series based on Monkeybone and marry his beautiful fiance Julie (Bridget Fonda) when he's injured in a freak accident that puts him in a coma. He travels to Dark Town, a holding area for the comatose who wait to either regain consciousness or move on to the afterlife with the help of Death (Whoopi Goldberg). Dark Town is also a realm where fictional characters reside and before long Stu has met the vulgar Monkeybone, who travels back to the land of the living to inhabit Stu's body. Aided by Kitty (Rose McGowan), Stu must find a way to reclaim his body and put Monkeybone back in his place before the raunchy primate ruins his charmed life. Monkeybone is based on the cartoon graphic novel Dark Town by Kaja Blackley. ~ Karl Williams, Rovi",Rotten,19,114,Spilled,27,47271
Shrek the Third,Comedy,PG ,92,5/18/2007,5,2007,160000000,Mike Myers,Eddie Murphy,Cameron Diaz,Chris Miller,Jeffrey Price,"When Shrek married Fiona, the last thing he had in mind was becoming the next King. But when Shrek's father-in-law, King Harold, suddenly croaks, that is exactly what he faces. Unless Shrek (with the help of his trusted companions Donkey and Puss In Boots) can find a suitable King for Far Far Away, the ogre could be stuck with the job. The most promising candidate, Fiona's cousin Artie, an underachieving Medieval high school slacker, proves to be more of a challenge than they bargained for.",Rotten,41,213,Spilled,52,2218576
Ratatouille,Comedy,G,110,6/29/2007,6,2007,150000000,Patton Oswalt,Brad Garrett,Ian Holm,Jan Pinkava,Brad Bird,"In the hilarious new animated-adventure, Ratatouille, a rat named Remy dreams of becoming a great chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the city of Paris, he finds himself ideally situated beneath a restaurant made famous by his culinary hero, Auguste Gusteau. Despite the apparent dangers of being an unwanted visitor in the kitchen at one of Paris' most exclusive restaurants, Remy forms an unlikely partnership with Linguini, the garbage boy, who inadvertently discovers Remy's amazing talents. They strike a deal, ultimately setting into motion a hilarious and exciting chain of extraordinary events that turns the culinary world of Paris upside down. Remy finds himself torn between following his dreams or returning forever to his previous existence as a rat. He learns the truth about friendship, family and having no choice but to be who he really is, a rat who wants to be a chef.",Certified-Fresh,96,250,Upright,87,1072394
The Princess and the Frog,Kids&Family,G,95,12/11/2009,12,2009,105000000,Anika Noni Rose,Bruno Campos,Keith David,John Musker,Ron Clements,"Walt Disney Animation Studios presents the musical ""The Princess and the Frog,"" an animated comedy set in the great city of New Orleans. From the creators of ""The Little Mermaid"" and ""Aladdin"" comes a modern twist on a classic tale, featuring a beautiful girl named Tiana, a frog prince who desperately wants to be human again, and a fateful kiss that leads them both on a hilarious adventure through the mystical bayous of Louisiana.",Certified-Fresh,85,198,Upright,74,261226
Cats Don't Dance,Kids&Family,G,75,3/28/1997,3,1997,32000000,Scott Bakula,Jasmine Guy,Natalie Cole,Mark Dindal,Theresa Pettengill,A song-and-dance cat from Kokomo leads a musical animal revolution at a 1930s Hollywood studio in this miscalculated blend of parody and nostalgia from Turner Animation Features.,Fresh,74,23,Upright,80,11160
Curious George,Kids&Family,G,88,2/10/2006,2,2006,50000000,Frank Welker,Will Ferrell,Drew Barrymore,Matthew O'Callaghan,Ken Kaufman,"The naughty little monkey from Margret Rey and H.A. Rey's beloved children's stories makes the leap to the big screen in this animated adaptation. Ted (voice of Will Ferrell) is an explorer with a large yellow hat who is good friends with Bloomsberry (voice of Dick Van Dyke), who runs a natural history museum. Bloomsberry's greedy son, Bloomsberry Junior (voice of David Cross), wants to tear down his dad's museum and put a parking ramp in its place, but the elder Bloomsberry is convinced that a spectacular new exhibit could save the museum from the wrecking ball. Ted heads to Africa on an expedition to find some special artifacts that will keep his friend in business, but while he's there he befriends a playful monkey he calls George (voice of Frank Welker). While George is friendly, he has a taste for mischief and seems to always get Ted in hot water; Ted thinks he's seen the last of his simian friend when his ship heads back to America, until he discovers that George managed to hide aboard the boat before it set sail. Ted's search for a eye-catching exhibit proved to be a failure, and Ted and his good friend Maggie (voice of Drew Barrymore), a schoolteacher who's sweet on him, struggle to find of a way to save Bloomsberry's museum. But time becomes precious for Ted when George has an entire new city to explore. Curious George features a handful of original songs composed for the film by surfer-turned-singer/songwriter Jack Johnson.",Fresh,70,107,Upright,69,257365
Snow White and the Seven Dwarfs,Classics,G,83,12/21/1937,12,1937,1488423,Adriana Caselotti,Marge Champion,Harry Stockwell,David Hand,Dorothy Anne Blank,"It was called ""Disney's Folly."" Who on earth would want to sit still for 90 minutes to watch an animated cartoon? And why pick a well-worn Grimm's Fairy Tale that every schoolkid knows? But Walt Disney seemed to thrive on projects which a lesser man might have written off as ""stupid"" or ""impossible"". Investing three years, $1,500,000, and the combined talents of 570 artists into Snow White and the Seven Dwarfs, Disney produced a film that was not only acknowledged a classic from the outset, but also earned 8,500,000 depression-era dollars in gross rentals. Bypassing early temptations to transform the heroine Snow White into a plump Betty Boop type or a woebegone ZaSu Pitts lookalike, the Disney staffers wisely made radical differentiations between the ""straight"" and ""funny"" characters in the story. Thus, Snow White and Prince Charming moved and were drawn realistically, while the Seven Dwarfs were rendered in the rounded, caricatured manner of Disney's short-subject characters. In this way, the serious elements of the story could be propelled forward in a believable enough manner to grab the adult viewers, while the dwarfs provided enough comic and musical hijinks to keep the kids happy. It is a tribute to the genius of the Disney formula that the dramatic and comic elements were strong enough to please both demographic groups. Like any showman, Disney knew the value of genuine horror in maintaining audience interest: accordingly, the Wicked Queen, whose jealousy of Snow White's beauty motivates the story, is a thoroughly fearsome creature even before she transforms herself into an ancient crone. Best of all, Snow White clicks in the three areas in which Disney had always proven superiority over his rivals: Solid story values (any sequence that threatened to slow down the plotline was ruthlessly jettisoned, no matter how much time and money had been spent), vivid etched characterizations (it would have been easier to have all the Dwarfs walk, talk and act alike: thank heaven that Disney never opted for ""easy""), and instantly memorable songs (Frank Churchill, Leigh Harline, Paul J. Smith and the entire studio music department was Oscar-nominated for such standards-to-be as ""Whistle While You Work"" and ""Some Day My Prince Will Come"").",Certified-Fresh,98,53,Upright,78,470351
Waltz with Bashir,Art&Foreign,R ,90,5/15/2008,5,2008,2000000,Ari Folman,Ron Ben-Yishai,Roni Dayag,Ari Folman,Ari Folman,"Director Ari Folman's animated, quasi-documentary Waltz With Bashir follows the filmmaker's emotional attempt to decipher the horrors that unfolded one night in September of 1982, when Christian militia members massacred more than 3,000 Palestinian refugees in the heart of Beirut as Israeli soldiers surrounded the area. Folman was one of those soldiers, but nearly 20 years after the fact, his memories of that night remain particularly hazy. After hearing an old friend recall a vivid nightmare in which he is pursued by 26 ferocious dogs, Folman and his friend conclude that the dream must somehow relate to that fateful mission during the first Lebanon War. When Folman realizes that his recollections regarding that period in his life seem to have somehow been wiped clean, he travels the world to interview old friends and fellow soldiers from the war. Later, as Folman's memory begins to emerge in a series of surreal images, he begins to uncover a truth about himself that will haunt him for the rest of his days. ~ Jason Buchanan, Rovi",Certified-Fresh,96,151,Upright,91,43976
Finding Nemo,Comedy,G,100,5/30/2003,5,2003,94000000,Albert Brooks,Ellen DeGeneres,Alexander Gould,Andrew Stanton,Andrew Stanton,"In this stunning underwater adventure, with memorable characters, humor and heartfelt emotion, Finding Nemo follows the comedic and momentous journey of an overly protective clownfish named Marlin (voice by Albert Brooks) and his son Nemo (voice by Alexander Gould) -- who become separated in the Great Barrier Reef when Nemo is unexpectedly taken far from his ocean home and dumped into a fish tank in a dentist's office. Buoyed by the companionship of Dory (voice by Ellen DeGeneres), a friendly-but-forgetful Pacific regal blue tang, Marlin embarks on a dangerous trek and finds himself the unlikely hero of an epic effort to rescue his son -- who hatches a few daring plans of his own to return safely home. -- (C) Official Site",Certified-Fresh,99,266,Upright,86,33356856
Alvin and the Chipmunks,Kids&Family,PG ,91,12/14/2007,12,2007,60000000,Jason Lee,Cameron Richardson,Jane Lynch,Tim Hill,Ross Bagdasarian Sr.,"""Alvin and the Chipmunks,"" a global phenomenon to generations of fans, becomes a live action/CGI motion picture event with contemporary comic sensibility. Songwriter Dave Seville transforms singing chipmunk Alvin, Simon and Theodore into pop sensations - while the out-of-control trio lays waste to Dave's home, wreaks havoc with his career, and turns Dave's once- orderly life upside-down.",Rotten,28,109,Upright,64,310703
Peter Pan,Kids&Family,G,77,2/5/1953,2,1953,4000000,Bobby Driscoll,Kathryn Beaumont,Hans Conried,Wilfred Jackson,Ralph Wright,"Disney's animated telling of the J.M. Barrie story chronicles the adventures of Peter, Wendy, Michael and John Darling as they must square off against Captain Hook on the enchanted island of Neverland.",Fresh,81,36,Upright,80,277986
The Rugrats Movie,Kids&Family,G,87,11/20/1998,11,1998,30000000,E.G. Daily,Kath Soucie,Melanie Chartoff,Norton Virgien,David N. Weiss,"Based on the popular Nickelodeon TV series Rugrats, this is the first full-length feature animated movie to star the little tots. It's the story of diaper-clad kids, told from a baby's point- of-view, and they were one of the hottest-selling toy franchises of the late '90s. The film features a hilarious musical number in the hospital nursery, where newborns have the voices of major rock stars that include Jakob Dylan (Bob Dylan's son), Iggy Pop, Lou Rawls, Lisa Loeb, and Patti Smith, to name a few. The story escalates when self-proclaimed leader Tommy Pickles is thrust into an impossible situation with the birth of his new brother, Dil Pickles. This new kid is grabbing all the attention and won't stop crying. With the help of other toddlers Lil and Phil, Tommy decides that the baby should be returned to the hospital for fixing. They all hop on their little wagon and take a high-speed ride straight into the deep woods where they realize they're lost. Chased around by animals (or so they think), the Rugrats clan must get home in one piece. Other celebrity voices include Whoopi Goldberg and The Rocky Horror Picture Show's Tim Curry, as well as Saturday Night Live's Andrea Martin and David Spade. ~ Chris Gore, Rovi",Rotten,59,51,Spilled,50,73681
Storks,Comedy,PG ,87,9/23/2016,9,2016,70000000,Andy Samberg,Katie Crown,Kelsey Grammer,Nicholas Stoller,Nicholas Stoller,"In this animated children's fantasy, two storks (voiced by Kelsey Grammer and Andy Samberg) reveal the truth about their job delivering babies to new parents.",Fresh,66,138,Upright,62,24872
The Hunchback of Notre Dame,Classics,G,91,6/21/1996,6,1996,100000000,Tom Hulce,Demi Moore,Tony Jay,Gary Trousdale,Tab Murphy,"After the critical and commercial success of The Little Mermaid, Beauty and the Beast and The Lion King, the Walt Disney Pictures animation studio embarked on their most serious and ambitious animated feature to date with this adaptation of Victor Hugo's classic novel Notre Dame de Paris. Quasimodo (voice of Tom Hulce) is a grotesquely deformed but kind-hearted young man who was abandoned by his parents as an infant and thrown down a well; he was rescued by the priests of Notre Dame, the massive cathedral in the heart of Paris, and he lives there, earning his keep as a bell ringer. Quasimodo has become the ward of Judge Frollo (voice of Tony Jay), an outwardly pious but deeply hateful man who treats Quasimodio with indifference and violently loathes the Gypsies who spend their days in the cathedral's courtyard. Frollo hopes to clear the Gypsies out of Paris with the help of Phoebus (voice of Kevin Kline), leader of the troops under Frollo's command. However, Phoebus does not share Frollo's racist views and harbors no ill will against the Gypsies. When Quasimodo is crowned King of the Fools after leaving Notre Dame during the annual festival of Topsy Turvy Day, the hunchback is ordered beaten by the guards as punishment, but Esmerelda (voice of Demi Moore), a hot-blooded but compassionate gypsy beauty, shows pity on him and helps free him from his chains. The lovely Esmerelda is the first woman to show kindness to the unfortunate Quasimodo, and the hunchback soon falls in love with her. However, the dashing Phoebus is also infatuated with her, and Esmerelda is attracted to Phoebus as well, though she feels a motherly affection for the hunchback. Judge Frollo finds that he also desires Esmerelda, which only inflames his hatred for the Gypsies when she refuses his proposals. Darker and less outwardly comic than most of Disney's features, The Hunchback of Notre Dame does feature comic relief in the form of Victor (voice of Charles Kimbrough) and Hugo (voice of Jason Alexander), a pair of gargoyles who befriend Quasimodo, as well as several songs from Alan Menken and Stephen Schwartz. ~ Mark Deming, Rovi",Fresh,92,24,Upright,76,2958
The Rescuers Down Under,Kids&Family,G,77,11/16/1990,11,1990,37931000,Bob Newhart,Eva Gabor,John Candy,Hendel Butoy,Jim Cox,The sequel to the 1977 Disney animated feature The Rescuers finds mice Bernard and Bianca en route to Australia to come to the aid of a young boy and a rare eagle.,Fresh,70,27,Upright,68,81971
A Bug's Life,Kids&Family,G,96,11/20/1998,11,1998,120000000,Kevin Spacey,Dave Foley,Julia Louis-Dreyfus,John Lasseter,Andrew Stanton,"John Lasseter, director of Pixar's movie phenomenon Toy Story, has set new standards in computer animation with this effort, another Disney-released children's epic entitled A Bug's Life. Blending classic Disney storytelling characters and the mysterious underground world of bugs, Lasseter has created a film that can be enjoyed by all audiences, and another franchise in the process. A Bug's Life is a computerized retelling of the Aesop fable The Ant and the Grasshopper, made as a cartoon-short by the one-and-only, Walt Disney, in the mid-'30s. However, A Bug's Life has modernized the story with many new twists and celebrity voices. The story focuses on a colony of ants who seasonally gather food for themselves and a wild gang of rowdy grasshoppers. When bumbling worker ant Flik (David Foley) destroys the food supply, the angry grasshoppers, lead by the maniacally warped Hopper (Kevin Spacey), threaten to kill the ants if they don't produce a new supply of food by the time they return -- an impossible feat. Flik leaves the anthill in search of help in the form of bigger bugs, and to wage war against the grasshoppers. What he doesn't know is he has actually discovered a group of down-on-their-luck traveling circus insects in need of a job. When the ants realize that their heroes are really circus performers (and the circus bugs realize these grasshoppers are really big and mean), the situation goes from bad to worse. Ultimately, the ants use their large numbers to overcome the grasshoppers. ~ Chris Gore, Rovi",Certified-Fresh,92,88,Upright,73,982499
Pinocchio,Art&Foreign,G,88,2/7/1940,2,1940,2600000,Dick Jones,Dickie Jones,Christian Rub,Hamilton Luske,Aurelius Battaglia,"When the gentle woodcarver Geppetto (Christian Rub) builds a marionette to be his substitute son, a benevolent fairy brings the toy to life. The puppet, named Pinocchio (Dick Jones), is not yet a human boy. He must earn the right to be real by proving that he is brave, truthful, and unselfish. But, even with the help of Jiminy (Cliff Edwards), a cricket who the fairy assigns to be Pinocchio's conscience, the marionette goes astray. He joins a puppet show instead of going to school, he lies instead of telling the truth, and he travels to Pleasure Island instead of going straight home. Yet, when Pinocchio discovers that a whale has swallowed Geppetto, the puppet single-mindedly journeys into the ocean and selflessly risks his life to save his father, thereby displaying that he deserves to be a real boy. Based on a series of stories by 19th century Italian author Carlo Collodi, Pinocchio came under fire for being a sugarcoated version of its original tale, but the film's moral did have a strong educational effect on children. Soon enough, a 16 mm excerpt from the picture, titled ""Pinocchio: A Lesson in Honesty,"" was released for teachers to use in schools. ~ Aubry Anne D'Arminio, Rovi",Rotten,0,55,Spilled,32,8941
Happy Feet,Comedy,PG ,109,11/17/2006,11,2006,100000000,Elijah Wood,Robin Williams,Hugh Jackman,George Miller,George Miller,"In the world of the emperor penguin, a simple song can mean the difference between a lifetime of happiness and an eternity of loneliness. When a penguin named Mumble is born without the ability to sing the romantic song that will attract his soul mate, he'll have to resort to some fancy footwork by tap dancing his way into the heart of the one he loves. Directed by Babe mastermind George Miller, Happy Feet tells the tale of one penguin's quest for love, and features an all-star cast of vocal talent that includes Robin Williams, Hugh Jackman, Elijah Wood, Nicole Kidman, and Brittany Murphy. ~ Jason Buchanan, Rovi",Certified-Fresh,76,168,Upright,70,617374
Flushed Away,Kids&Family,PG ,84,11/3/2006,11,2006,149000000,Hugh Jackman,Kate Winslet,Ian McKellen,David Bowers,Sam Fell,"A previously pampered society mouse must fight his way back to the comforts of Kensington after he is sent spiraling into an underground world filled with scavenger rats and villainous toads in a fun-filled family adventure produced by DreamWorks Animation and Aardman Features and featuring the voices of Hugh Jackman, Kate Winslet, Ian McKellen, and Jean Reno. Roddy (Jackman) was living the high life when he first met Sid the sewer rat (Shane Richie), but that's all about to change when Sid decides to send the hapless mouse down the pipes and stealthily take his place in the lap of luxury. Though the bustling sewer city of Ratropolis isn't without its fair share of kind citizens, it is certainly no place for a pampered mouse with a taste for life's finer things. Upon making the acquaintance of scavenger rat Rita (Winslet), Roddy is certain that the pair can navigate their way back to the surface in Rita's trusty boat, the Jammy Dodger, but Rita's help doesn't come cheap, and the nefarious Toad (McKellen) is determined to rid Ratropolis of all things rodent. When Toad's hapless hench-rats Spike (Andy Serkis) and Whitey (Bill Nighy) fail to achieve acceptable results, the green meanie is forced to call in the cavalry in the form of legendary French mercenary Le Frog (Reno) to get the job done. ~ Jason Buchanan, Rovi",Certified-Fresh,73,138,Upright,65,249745
The Prince of Egypt,Drama,PG ,93,12/18/1998,12,1998,70000000,Val Kilmer,Ralph Fiennes,Michelle Pfeiffer,Brenda Chapman,Nicholas Meyer,"""My son, I have nothing I can give, but this chance that you may live."" With these words, Yocheved, a Hebrew mother, places her infant son in a basket and sets him adrift on the Nile River. His sister Miriam follows him along the riverbank to ensure its safety. After a perilous journey, the basket floats near the royal palace, where it is spotted by the Queen. As she approaches the basket with her young son nearby, she marvels at the beautiful infant boy inside. She names the baby Moses and adopts him as her own. Based on the 'Book of Exodus' in the Bible, this is the story of Moses.",Certified-Fresh,80,88,Upright,76,200515
Planes,Comedy,PG ,92,8/9/2013,8,2013,50000000,Diogo Morgado,Manuel Marques,Dane Cook,Klay Hall,Jeffrey M. Howard,"Cars gets a spin-off with this Disney Toon Studios film starring the voice of Dane Cook as a vertically-challenged plane with high hopes of becoming an air racer. ~ Jeremy Wheeler, Rovi",Rotten,25,122,Spilled,49,72053
Batman: Mask Of The Phantasm,Kids&Family,PG ,80,12/24/1993,12,1993,6000000,Kevin Conroy,Stacy Keach,Hart Bochner,Eric Radomski,Martin Paso,"This stylish animated adventure is based on the '90s animated television series, which in turn is based on the original comics and Tim Burton's live action ""Batman"" films. Unlike the campy 1960s version of Batman, this version is half-mad from the superhero's obsession with justice. It is only his unusual sense of ethics that keeps him from becoming a full-blown psychotic. The story describes the origins of Batman as it follows the Dark Knight's attempts to capture the elusive, deadly Phantasm who kills a crime lord and makes it look as if Batman did it, causing a media smear campaign against the Caped Crusader. At the same time, millionaire Bruce Wayne holds a party at his mansion. There he meets Councilman Arthur Reeves, the man behind the accusations. Reeves derides playboy Wayne for allowing his college sweetheart Andrea Beaumont to leave him. Suddenly Wayne flashes back to his pre-Batman days. He remembers how he met her while visiting his parents' graves to renew his vow that he would spend his life fighting crime to avenge their wrongful deaths. He has already devised an early version of his alter-ego Batman, but that is nearly forgotten when he falls in love with Andrea. The story then jumps from past to present and back as the mysterious Phantasm strikes again. Batman continues his investigation and discovers a disturbing link between Andrea, who suddenly shows up after many years absence, and the villain. Meanwhile, the Phantasm, feeling that Batman is too close to learning his/her identity hires the Joker to kill him. But the Joker has his own agenda and much action ensues before the mystery of the Phantasm identity is solved, Batman clears his name, and justice is served. This film was originally made to go straight to video, Warner's studio liked it enough to release it theatrically. Some of the violence may be inappropriate for very young children.",Fresh,84,32,Upright,88,71863
